target,held_out_group,variant_id,delta_AP,delta_F1,delta_AP_lift,macro_delta_AP,macro_delta_F1,pooled_delta_AP,pooled_delta_F1,retained_AP_lift_ratio,mixed_domain_ap_decline_count,mixed_domain_count,domains_with_ap_decline_gte_0p05,frozen_dependency_classification
looping,webarena,S3_no_activity_volume,-0.009229989644031766,-0.09195830230826507,-0.009229989644031822,0.04886431195725116,-0.03942416948741678,0.0505966328555143,-0.05019751162228259,1.137996408813744,2,4,0,limited_dependency
looping,workarena,S3_no_activity_volume,0.18199603978183854,-0.03496914487217162,0.18199603978183854,0.04886431195725116,-0.03942416948741678,0.0505966328555143,-0.05019751162228259,1.137996408813744,2,4,0,limited_dependency
looping,assistantbench,S4_no_error,0.03737373737373728,0.0,0.03737373737373728,0.0077022998301434775,0.011814345991561281,-0.014400966910883328,0.018141992011338703,0.9607230441040926,2,4,0,limited_dependency
looping,visualwebarena,S4_no_error,-0.015306122448979553,0.0,-0.015306122448979442,0.0077022998301434775,0.011814345991561281,-0.014400966910883328,0.018141992011338703,0.9607230441040926,2,4,0,limited_dependency
looping,webarena,S4_no_error,0.015523725891580131,0.04725738396624479,0.015523725891580131,0.0077022998301434775,0.011814345991561281,-0.014400966910883328,0.018141992011338703,0.9607230441040926,2,4,0,limited_dependency
looping,workarena,S4_no_error,-0.006782141495763838,0.0,-0.006782141495763838,0.0077022998301434775,0.011814345991561281,-0.014400966910883328,0.018141992011338703,0.9607230441040926,2,4,0,limited_dependency
looping,assistantbench,S5_no_termination_or_repetition,0.0,0.0,0.0,-0.03294795398159622,0.0038331253342842597,-0.034371380294491605,0.005630245468178585,0.9062560732024206,3,4,1,limited_dependency
looping,visualwebarena,S5_no_termination_or_repetition,-0.02857142857142847,0.0,-0.02857142857142847,-0.03294795398159622,0.0038331253342842597,-0.034371380294491605,0.005630245468178585,0.9062560732024206,3,4,1,limited_dependency
looping,webarena,S5_no_termination_or_repetition,-0.0784412448796008,0.015332501337136817,-0.07844124487960086,-0.03294795398159622,0.0038331253342842597,-0.034371380294491605,0.005630245468178585,0.9062560732024206,3,4,1,limited_dependency
looping,workarena,S5_no_termination_or_repetition,-0.024779142475355842,0.0,-0.024779142475355842,-0.03294795398159622,0.0038331253342842597,-0.034371380294491605,0.005630245468178585,0.9062560732024206,3,4,1,limited_dependency
looping,assistantbench,S6_termination_repetition_only,0.06352813852813854,0.0,0.06352813852813854,0.050514806302049076,-0.017446147509394883,0.07749168241532411,-0.04399657863787021,1.2113495164151904,2,4,0,sufficiency_only_not_dependency_grade
looping,visualwebarena,S6_termination_repetition_only,-0.01468253968253963,0.05714285714285705,-0.01468253968253963,0.050514806302049076,-0.017446147509394883,0.07749168241532411,-0.04399657863787021,1.2113495164151904,2,4,0,sufficiency_only_not_dependency_grade
looping,webarena,S6_termination_repetition_only,-0.029702650031051547,-0.09195830230826507,-0.029702650031051603,0.050514806302049076,-0.017446147509394883,0.07749168241532411,-0.04399657863787021,1.2113495164151904,2,4,0,sufficiency_only_not_dependency_grade
looping,workarena,S6_termination_repetition_only,0.18291627639364905,-0.03496914487217162,0.18291627639364905,0.050514806302049076,-0.017446147509394883,0.07749168241532411,-0.04399657863787021,1.2113495164151904,2,4,0,sufficiency_only_not_dependency_grade
