target,baseline_id,outer_fold,config_id,threshold,inner_f1,inner_precision,inner_recall,selected
success,B1,4,B1_prior,0.15,0.46153846153846156,0.3,1.0,False
success,B1,4,B1_prior,0.2,0.46153846153846156,0.3,1.0,False
success,B1,4,B1_prior,0.25,0.46153846153846156,0.3,1.0,True
success,B1,4,B1_prior,0.3,0.0,0.0,0.0,False
success,B1,4,B1_prior,0.35,0.0,0.0,0.0,False
success,B1,4,B1_prior,0.4,0.0,0.0,0.0,False
success,B1,4,B1_prior,0.45,0.0,0.0,0.0,False
success,B1,4,B1_prior,0.5,0.0,0.0,0.0,False
success,B1,4,B1_prior,0.55,0.0,0.0,0.0,False
success,B1,4,B1_prior,0.6,0.0,0.0,0.0,False
success,B1,4,B1_prior,0.65,0.0,0.0,0.0,False
success,B1,4,B1_prior,0.7,0.0,0.0,0.0,False
success,B1,4,B1_prior,0.75,0.0,0.0,0.0,False
success,B1,4,B1_prior,0.8,0.0,0.0,0.0,False
success,B1,4,B1_prior,0.85,0.0,0.0,0.0,False
success,B1,4,B1_prior,0.9,0.0,0.0,0.0,False
success,B1,4,B1_prior,0.95,0.0,0.0,0.0,False
success,B1,5,B1_prior,0.05,0.5,0.3333333333333333,1.0,False
success,B1,5,B1_prior,0.1,0.5,0.3333333333333333,1.0,False
success,B1,5,B1_prior,0.15,0.5,0.3333333333333333,1.0,False
success,B1,5,B1_prior,0.2,0.5,0.3333333333333333,1.0,False
success,B1,5,B1_prior,0.25,0.5,0.3333333333333333,1.0,True
success,B1,5,B1_prior,0.3,0.0,0.0,0.0,False
success,B1,5,B1_prior,0.35,0.0,0.0,0.0,False
success,B1,5,B1_prior,0.4,0.0,0.0,0.0,False
success,B1,5,B1_prior,0.45,0.0,0.0,0.0,False
success,B1,5,B1_prior,0.5,0.0,0.0,0.0,False
success,B1,5,B1_prior,0.55,0.0,0.0,0.0,False
success,B1,5,B1_prior,0.6,0.0,0.0,0.0,False
success,B1,5,B1_prior,0.65,0.0,0.0,0.0,False
success,B1,5,B1_prior,0.7,0.0,0.0,0.0,False
success,B1,5,B1_prior,0.75,0.0,0.0,0.0,False
success,B1,5,B1_prior,0.8,0.0,0.0,0.0,False
success,B1,5,B1_prior,0.85,0.0,0.0,0.0,False
success,B1,5,B1_prior,0.9,0.0,0.0,0.0,False
success,B1,5,B1_prior,0.95,0.0,0.0,0.0,False
success,B2,1,B2_C0p1_cw_balanced,0.05,0.5,0.3333333333333333,1.0,False
success,B2,1,B2_C0p1_cw_balanced,0.1,0.5,0.3333333333333333,1.0,False
success,B2,1,B2_C0p1_cw_balanced,0.15,0.5,0.34615384615384615,0.9,False
success,B2,1,B2_C0p1_cw_balanced,0.2,0.5454545454545454,0.391304347826087,0.9,False
success,B2,1,B2_C0p1_cw_balanced,0.25,0.5806451612903226,0.42857142857142855,0.9,False
success,B2,1,B2_C0p1_cw_balanced,0.3,0.6923076923076923,0.5625,0.9,False
success,B2,1,B2_C0p1_cw_balanced,0.35,0.6923076923076923,0.5625,0.9,True
success,B2,1,B2_C0p1_cw_balanced,0.4,0.64,0.5333333333333333,0.8,False
success,B2,1,B2_C0p1_cw_balanced,0.45,0.64,0.5333333333333333,0.8,False
success,B2,1,B2_C0p1_cw_balanced,0.5,0.5217391304347826,0.46153846153846156,0.6,False
success,B2,1,B2_C0p1_cw_balanced,0.55,0.5454545454545454,0.5,0.6,False
success,B2,1,B2_C0p1_cw_balanced,0.6,0.5,0.5,0.5,False
success,B2,1,B2_C0p1_cw_balanced,0.65,0.3333333333333333,0.375,0.3,False
success,B2,1,B2_C0p1_cw_balanced,0.7,0.26666666666666666,0.4,0.2,False
success,B2,1,B2_C0p1_cw_balanced,0.75,0.16666666666666666,0.5,0.1,False
success,B2,1,B2_C0p1_cw_balanced,0.8,0.0,0.0,0.0,False
success,B2,1,B2_C0p1_cw_balanced,0.85,0.0,0.0,0.0,False
success,B2,1,B2_C0p1_cw_balanced,0.9,0.0,0.0,0.0,False
success,B2,1,B2_C0p1_cw_balanced,0.95,0.0,0.0,0.0,False
success,B2,2,B2_C10p0_cw_balanced,0.05,0.45,0.2903225806451613,1.0,False
success,B2,2,B2_C10p0_cw_balanced,0.1,0.46153846153846156,0.3,1.0,False
success,B2,2,B2_C10p0_cw_balanced,0.15,0.4864864864864865,0.32142857142857145,1.0,False
success,B2,2,B2_C10p0_cw_balanced,0.2,0.5294117647058824,0.36,1.0,False
success,B2,2,B2_C10p0_cw_balanced,0.25,0.5294117647058824,0.36,1.0,True
success,B2,2,B2_C10p0_cw_balanced,0.3,0.48484848484848486,0.3333333333333333,0.8888888888888888,False
success,B2,2,B2_C10p0_cw_balanced,0.35,0.5,0.34782608695652173,0.8888888888888888,False
success,B2,2,B2_C10p0_cw_balanced,0.4,0.5,0.34782608695652173,0.8888888888888888,False
success,B2,2,B2_C10p0_cw_balanced,0.45,0.5,0.34782608695652173,0.8888888888888888,False
success,B2,2,B2_C10p0_cw_balanced,0.5,0.4827586206896552,0.35,0.7777777777777778,False
success,B2,2,B2_C10p0_cw_balanced,0.55,0.5,0.3684210526315789,0.7777777777777778,False
success,B2,2,B2_C10p0_cw_balanced,0.6,0.4166666666666667,0.3333333333333333,0.5555555555555556,False
success,B2,2,B2_C10p0_cw_balanced,0.65,0.34782608695652173,0.2857142857142857,0.4444444444444444,False
success,B2,2,B2_C10p0_cw_balanced,0.7,0.4,0.36363636363636365,0.4444444444444444,False
success,B2,2,B2_C10p0_cw_balanced,0.75,0.47058823529411764,0.5,0.4444444444444444,False
success,B2,2,B2_C10p0_cw_balanced,0.8,0.42857142857142855,0.6,0.3333333333333333,False
success,B2,2,B2_C10p0_cw_balanced,0.85,0.18181818181818182,0.5,0.1111111111111111,False
success,B2,2,B2_C10p0_cw_balanced,0.9,0.18181818181818182,0.5,0.1111111111111111,False
success,B2,2,B2_C10p0_cw_balanced,0.95,0.2,1.0,0.1111111111111111,False
success,B2,3,B2_C1p0_cw_balanced,0.05,0.5,0.3333333333333333,1.0,False
success,B2,3,B2_C1p0_cw_balanced,0.1,0.5128205128205128,0.3448275862068966,1.0,False
success,B2,3,B2_C1p0_cw_balanced,0.15,0.5555555555555556,0.38461538461538464,1.0,False
success,B2,3,B2_C1p0_cw_balanced,0.2,0.625,0.45454545454545453,1.0,False
success,B2,3,B2_C1p0_cw_balanced,0.25,0.6896551724137931,0.5263157894736842,1.0,False
