metric_name,target,exact_value,display_value,source_artifact,table_id,figure_id,allowed_sections,rounding_rule,verified
AP_lift_CI_low,Looping,0.36096476759760193,0.361,artifacts/a2_3_table_1_main_heldout_results.csv,,Fig2_Heldout_AP_Lift_CI,Abstract;Results R3;Discussion,predictive_metric_3_decimal_places,true
AP_lift_CI_high,Looping,0.42859756050695702,0.429,artifacts/a2_3_table_1_main_heldout_results.csv,,Fig2_Heldout_AP_Lift_CI,Abstract;Results R3;Discussion,predictive_metric_3_decimal_places,true
dimension,All,13,13,artifacts/a2_3_table_2_efficiency_tradeoff.csv,,Fig3_Efficiency_Complexity,Abstract optional;Results R4;Discussion;Limitations,integer,true
extraction_ms_per_trajectory,All,0.01343163276775455,0.01343 ms,artifacts/a2_3_table_2_efficiency_tradeoff.csv,,Fig3_Efficiency_Complexity,Abstract optional;Results R4;Discussion;Limitations,latency_4_significant_digits,true
representation_size_bytes,All,20512,20.0 KiB,artifacts/a2_3_table_2_efficiency_tradeoff.csv,,Fig3_Efficiency_Complexity,Abstract optional;Results R4;Discussion;Limitations,bytes_to_KiB_3_significant_digits,true
dimension,All,1024,1024,artifacts/a2_3_table_2_efficiency_tradeoff.csv,,Fig3_Efficiency_Complexity,Abstract optional;Results R4;Discussion;Limitations,integer,true
extraction_ms_per_trajectory,All,2370.268617346984,2.37e3 ms,artifacts/a2_3_table_2_efficiency_tradeoff.csv,,Fig3_Efficiency_Complexity,Abstract optional;Results R4;Discussion;Limitations,latency_3_significant_digits,true
representation_size_bytes,All,802944,784 KiB,artifacts/a2_3_table_2_efficiency_tradeoff.csv,,Fig3_Efficiency_Complexity,Abstract optional;Results R4;Discussion;Limitations,bytes_to_KiB_3_significant_digits,true
standardized_coefficient,success|feature=observation_char_count_total,-2.2036341198743488,-2.204,artifacts/a2_2_structural_coefficients.csv,,Fig4_Structural_Interpretation,Results R2;Results R5;Discussion;Appendix,coefficient_3_decimal_places,true
standardized_coefficient,success|feature=observation_char_count_mean_nonempty,1.8794611945779307,1.879,artifacts/a2_2_structural_coefficients.csv,,Fig4_Structural_Interpretation,Results R2;Results R5;Discussion;Appendix,coefficient_3_decimal_places,true
standardized_coefficient,success|feature=action_char_count_total,0.7322218588981673,0.732,artifacts/a2_2_structural_coefficients.csv,,Fig4_Structural_Interpretation,Results R2;Results R5;Discussion;Appendix,coefficient_3_decimal_places,true
standardized_coefficient,success|feature=has_explicit_termination_signal,-0.6098788036976219,-0.610,artifacts/a2_2_structural_coefficients.csv,,Fig4_Structural_Interpretation,Results R2;Results R5;Discussion;Appendix,coefficient_3_decimal_places,true
